
[Epoch #0: Batch 7/0] Train loss: 39.785671, Misclassified: [10/0]
[Epoch #0: Batch 7/1] Train loss: 88.656600, Misclassified: [10/1]
[Epoch #0: Batch 7/2] Train loss: 40.639524, Misclassified: [10/0]
[Epoch #0: Batch 7/3] Train loss: 27.493217, Misclassified: [10/1]
[Epoch #0: Batch 7/4] Train loss: 21.309314, Misclassified: [10/0]
[Epoch #0: Batch 7/5] Train loss: 16.786607, Misclassified: [10/1]
[Epoch #0: Batch 7/6] Train loss: 25.004777, Misclassified: [10/0]
[Epoch #0: Batch 7/0] Validation loss: 13.482590, Misclassified: [15/4]
[Epoch #1: Batch 7/0] Train loss: 12.938925, Misclassified: [10/1]
[Epoch #1: Batch 7/1] Train loss: 12.151597, Misclassified: [10/1]
[Epoch #1: Batch 7/2] Train loss: 9.901892, Misclassified: [10/1]
[Epoch #1: Batch 7/3] Train loss: 9.372967, Misclassified: [10/2]
[Epoch #1: Batch 7/4] Train loss: 9.589858, Misclassified: [10/1]
[Epoch #1: Batch 7/5] Train loss: 7.912995, Misclassified: [10/2]
[Epoch #1: Batch 7/6] Train loss: 6.600479, Misclassified: [10/1]
[Epoch #1: Batch 7/0] Validation loss: 5.923860, Misclassified: [15/1]
[Epoch #2: Batch 7/0] Train loss: 8.174123, Misclassified: [10/0]
[Epoch #2: Batch 7/1] Train loss: 5.420240, Misclassified: [10/0]
